2014-02-27 10:28:58.153 AM	Validate	**Start Validate***
2014-02-27 10:28:58.153 AM	Validate	**For each***
2014-02-27 10:28:58.153 AM	Validate	**For each***
2014-02-27 10:28:58.153 AM	Validate	**End Validate Myret True**
2014-02-27 10:28:58.153 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:28:58.153 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:28:58.153 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:28:58.153 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:28:58.153 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:28:58.153 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:28:59.434 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:28:59.434 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:52:36.771 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:52:36.771 AM	Validate	**Start Validate***
2014-02-27 10:52:36.771 AM	Validate	**For each***
2014-02-27 10:52:36.771 AM	Validate	**For each***
2014-02-27 10:52:36.771 AM	Validate	**End Validate Myret True**
2014-02-27 10:52:36.771 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit True**
2014-02-27 10:52:36.771 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:52:36.771 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:52:41.177 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:52:41.177 AM	Validate	**Start Validate***
2014-02-27 10:52:41.177 AM	Validate	**For each***
2014-02-27 10:52:41.177 AM	Validate	**For each***
2014-02-27 10:52:41.177 AM	Validate	**End Validate Myret True**
2014-02-27 10:52:41.177 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:52:41.177 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:52:41.193 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:52:41.224 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:52:54.382 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:52:54.851 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:52:54.851 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:52:57.351 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:52:57.351 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:54:06.935 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:54:06.935 AM	Validate	**Start Validate***
2014-02-27 10:54:06.935 AM	Validate	**For each***
2014-02-27 10:54:06.935 AM	Validate	**For each***
2014-02-27 10:54:06.935 AM	Validate	**For each***
2014-02-27 10:54:06.935 AM	Validate	**End Validate Myret True**
2014-02-27 10:54:06.935 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
